252,252,252,250,253,255,252,249,247,244,248;
254,249,251,251,255,253,249,247,241,238,241;
254,248,247,250,250,253,251,253,251,250,255;
246,244,247,250,253,253,253,252,252,250,255;
245,246,245,248,251,254,255,250,247,243,246;
247,244,246,248,250,252,255,253,254,251,253;
255,250,253,254,253,254,252,248,246,250,250;
247,244,250,255,252,245,241,248,247,242,240;
0,0,0,0,0,0,0,0,0,0,0;
255,248,250,254,254,253,249,251,248,246,250;
246,241,240,241,242,251,251,246,248,249,255;
238,234,241,241,242,249,252,255,253,247,251;
248,245,246,247,252,254,255,252,249,248,252;
253,253,254,254,255,254,252,249,248,246,246;
252,237,240,247,245,249,251,251,250,247,255;
237,228,233,242,248,255,250,248,240,230,239;
255,251,253,254,253,251,251,249,250,247,247;
255,249,246,248,250,245,239,231,227,223,229;
251,246,244,246,249,251,250,255,251,247,250;
245,239,242,244,246,248,247,255,253,249,252;
244,237,240,249,251,255,251,245,244,238,243;
253,248,248,244,247,253,255,251,249,249,254;
243,240,241,243,247,252,255,252,250,250,253;
250,243,245,249,247,249,255,252,251,249,253;
243,240,240,244,249,255,252,251,243,240,244;
246,240,247,252,247,254,255,246,243,243,250;
241,239,245,244,254,255,253,248,246,246,252;
241,236,241,244,247,255,253,253,253,252,252;
246,236,235,239,245,255,249,244,240,243,247;
248,243,250,248,248,251,250,251,253,250,255;
236,229,229,235,240,246,242,249,254,247,255;
247,241,239,246,242,242,246,249,248,247,255;
248,233,231,236,241,246,248,250,249,248,255;
254,252,252,253,254,254,254,254,254,253,255;
255,246,240,249,252,250,252,249,249,247,253;
242,239,242,242,247,255,247,248,241,239,247;
244,237,239,238,240,250,255,253,250,244,248;
246,239,241,246,247,255,254,251,250,251,253;
251,249,250,251,254,252,255,251,251,246,250;
255,246,242,241,251,247,243,242,240,233,242;
240,236,238,243,250,251,255,250,251,248,254;
252,245,248,250,250,253,253,251,254,248,255;
251,245,249,253,249,249,255,254,246,245,251;
246,238,239,242,244,247,247,253,251,247,255;
251,245,248,248,250,246,255,249,250,249,254;
255,247,247,245,246,252,252,248,247,247,251;
245,236,233,244,249,255,242,243,241,240,246;
235,232,237,241,243,249,255,250,241,245,250;
248,244,243,244,250,255,250,249,241,243,252;
240,239,244,245,255,254,248,244,245,240,248;
243,236,239,244,244,250,255,252,243,238,244;
243,241,241,245,247,255,254,250,249,249,251;
246,238,236,241,247,250,255,249,241,239,244;
245,243,246,239,248,246,244,240,237,245,255;
245,244,241,247,247,251,251,255,247,245,250;
242,239,242,240,245,250,247,250,251,248,255;
245,244,246,246,246,255,250,249,246,246,248;
255,249,248,245,250,247,250,250,248,248,254;
245,238,241,245,255,251,250,247,242,243,240;
